cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2899,NA,2835,1008,3600.4395061728396,2290.587347690544,0,8667,516,1649,3687,5582,6782,1,NA,NA
2899,NA,2835,1009,608.636684303351,221.46836884756252,0,866,182,599,709,737,757,1,NA,NA
2899,2,171,3025315529702,71.21447953216374,28.835339967465003,5.131,165.6,7.19,15,38,45,47,0.06031746031746032,0,30
2899,2,589,4154790876702,74.73005093378607,12.515573842331143,40,160,54,60,61,65,66,0.20776014109347443,0,30
2899,1,2009,4154790876702,75.37531110004977,10.735664383551503,0,120,60,66,72,78,80,0.7086419753086419,-730,-1
2899,2,262,4301868581702,89.01908396946565,20.20668154928714,48,170,54,60,64,68,70,0.09241622574955909,0,30
2899,1,786,4301868581702,79.98473282442748,16.76566922927911,40,180,60,68,75,82,88,0.27724867724867724,-730,-1
2899,1,1452,3038553531702,28.049035812672184,6.927345142032549,0,62.7,19.8,22.9,26.4,30.1,33.7,0.5121693121693122,-730,-1
2899,1,2009,4152194876702,128.86908909905426,17.843422717612448,73,214,103,112,123,131,138,0.7086419753086419,-730,-1
2899,1,186,4241837000702,2.9858064516129037,12.527502658536292,0.1,156,0.79,1.07,1.6,2.12,2.75,0.0656084656084656,-730,-1
2899,1,1586,3025315529702,74.9692339218159,23.64051452572775,0,183.6,47.6,59.1,71,84.3,94,0.5594356261022928,-730,-1
2899,1,726,3036277546702,1.8295619834710737,5.521352521796253,0.52,150.3,1.5,1.57,1.64,1.72,1.78,0.2560846560846561,-730,-1
2899,1,148,4061901541702,20.12162162162162,9.424173148309896,12,92,12,15,16,18,18,0.052204585537918874,-730,-1
2899,1,250,4087260000702,336.376,134.04510803439192,32,800,180,224,300,369,430,0.08818342151675485,-730,-1
2899,2,144,3038553531702,27.632638888888884,8.206818160300575,11.3,60.8,16,16.7,18.2,19.2,19.6,0.050793650793650794,0,30
2899,2,589,4152194876702,127.6893039049236,20.02354662422685,75,210,96,100,107,111,113,0.20776014109347443,0,30
2899,NA,2835,1002,54.632804232804226,24.645393078626277,0,101,19,37,57,75,86,1,NA,NA
2899,NA,5166,9202911,25.324514991181655,20.77170671851497,0,349,5,8,17,30,49,1.8222222222222222,NA,NA
